date,pos,neg,class
2018-04-01,0.5223396122467753,0.47766038775322484,1
2018-04-02,0.4437159638723808,0.5562840361276193,0
2018-04-03,0.5224787327439444,0.47752126725605526,1
2018-04-04,0.43238347420780937,0.5676165257921907,0
2018-04-05,0.4098369084275613,0.5901630915724388,0
2018-04-06,0.49176882634016916,0.5082311736598306,0
2018-04-07,0.47865458908633735,0.5213454109136628,0
2018-04-08,0.43612923935939085,0.5638707606406094,0
2018-04-09,0.47328908509648665,0.526710914903513,0
2018-04-10,0.5045676083026683,0.49543239169733205,0
2018-04-11,0.48291221178923033,0.5170877882107692,0
2018-04-12,0.5108635425036251,0.4891364574963752,1
2018-04-13,0.5606631697352364,0.43933683026476356,1
2018-04-14,0.5272260863631596,0.4727739136368405,1
2018-04-15,0.550182667221217,0.44981733277878283,1
2018-04-16,0.49988510787549734,0.5001148921245023,0
2018-04-17,0.47928559088940925,0.5207144091105911,0
2018-04-18,0.5094310994532822,0.49056890054671803,0
2018-04-19,0.5204195545079461,0.479580445492054,1
2018-04-20,0.5302999527472493,0.4697000472527508,1
2018-04-21,0.5311577239563224,0.46884227604367745,1
2018-04-22,0.47236286693499285,0.527637133065007,0
2018-04-23,0.45444829907710177,0.5455517009228978,0
2018-04-24,0.5393486899560634,0.4606513100439368,1
2018-04-25,0.5107143312391982,0.48928566876080165,1
2018-04-26,0.5099483338400145,0.49005166615998536,0
2018-04-27,0.5177530295793558,0.4822469704206445,1
2018-04-28,0.6016871065745977,0.3983128934254021,1
2018-04-29,0.5485232543658822,0.4514767456341176,1
2018-04-30,0.512315895738935,0.4876841042610649,1
2018-05-01,0.49298616666944906,0.5070138333305511,0
2018-05-02,0.5622629085619766,0.4377370914380231,1
2018-05-03,0.5433636620658391,0.45663633793416086,1
2018-05-04,0.5607975431008823,0.4392024568991181,1
2018-05-05,0.561070258203101,0.4389297417968992,1
2018-05-06,0.5558775317237016,0.44412246827629837,1
2018-05-07,0.5462546483045864,0.45374535169541375,1
2018-05-08,0.5701265925469718,0.4298734074530278,1
2018-05-09,0.6144390146856551,0.3855609853143448,1
2018-05-10,0.538359670224142,0.46164032977585817,1
2018-05-11,0.5272005534545119,0.47279944654548794,1
2018-05-12,0.5386239543216397,0.46137604567836016,1
2018-05-13,0.5298582873677457,0.4701417126322544,1
2018-05-14,0.554126286624582,0.44587371337541837,1
2018-05-15,0.5169612280759078,0.4830387719240921,1
2018-05-16,0.563468642288627,0.4365313577113731,1
2018-05-17,0.6165592831706289,0.38344071682937064,1
2018-05-18,0.5482777973279345,0.4517222026720657,1
2018-05-19,0.5037721892528632,0.4962278107471374,0
2018-05-20,0.6050455599460128,0.39495444005398744,1
2018-05-21,0.5515248297588937,0.4484751702411062,1
2018-05-22,0.49919624490787495,0.5008037550921246,0
